postcode,RA_quintile
2840,4
2842,3
2843,3
2844,3
2845,2
2846,2
2847,2
2848,2
2849,3
2850,2
2852,3
2864,3
2865,3
2866,2
2867,3
2868,3
2869,3
2870,3
2871,3
2873,4
2874,3
2875,3
2876,3
2877,3
2878,5
2879,5
2880,3
2898,5
2899,5
2900,1
2902,1
2903,1
2904,1
2905,1
2906,1
2911,1
2912,1
2913,1
2914,1
3000,1
3002,1
3003,1
3004,1
3006,1
3008,1
3010,1
3011,1
3012,1
3013,1
3015,1
3016,1
3018,1
3019,1
3020,1
3021,1
3022,1
3023,1
3024,1
3025,1
3026,1
3027,1
3028,1
3029,1
3030,1
3031,1
3032,1
3033,1
3034,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3042,1
3043,1
3044,1
3045,1
3046,1
3047,1
3048,1
3049,1
3050,1
3051,1
3052,1
3053,1
3054,1
3055,1
3056,1
3057,1
3058,1
3059,1
3060,1
3061,1
3062,1
3063,1
3064,1
3065,1
3066,1
3067,1
3068,1
3070,1
3071,1
3072,1
3073,1
3074,1
3075,1
3076,1
3078,1
3079,1
3081,1
3082,1
3083,1
3084,1
3085,1
3086,1
3087,1
3088,1
3089,1
3090,1
3091,1
3093,1
3094,1
3095,1
3096,1
3097,1
3099,1
3101,1
3102,1
3103,1
3104,1
3105,1
3106,1
3107,1
3108,1
3109,1
3111,1
3113,1
3114,1
3115,1
3116,1
3121,1
3122,1
3123,1
3124,1
3125,1
3126,1
3127,1
3128,1
3129,1
3130,1
3131,1
3132,1
3133,1
3134,1
3135,1
3136,1
3137,1
3138,1
3139,2
3140,1
3141,1
3142,1
3143,1
3144,1
3145,1
3146,1
3147,1
3148,1
3149,1
3150,1
3151,1
3152,1
3153,1
3154,1
3155,1
3156,1
3158,1
3159,1
3160,1
3161,1
3162,1
3163,1
3165,1
3166,1
3167,1
3168,1
3169,1
3170,1
3171,1
3172,1
3173,1
3174,1
3175,1
3177,1
3178,1
3179,1
3180,1
3181,1
3182,1
3183,1
3184,1
3185,1
3186,1
3187,1
3188,1
3189,1
3190,1
3191,1
3192,1
3193,1
3194,1
3195,1
3196,1
3197,1
3198,1
3199,1
3200,1
3201,1
3202,1
3204,1
3205,1
3206,1
3207,1
3211,2
3212,1
3213,1
3214,1
3215,1
3216,1
3217,1
3218,1
3219,1
3220,1
3221,2
3222,2
3223,2
3224,1
3225,2
3226,2
3227,2
3228,2
3230,2
